player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Cléo Melieres,Metz,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Coba da Costa,Getafe,La Liga,2025-2026,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Cody Gakpo,Liverpool,Premier League,2025-2026,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,3,0
Cole Campbell,Dortmund,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Cole Campbell,Hoffenheim,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Cole Palmer,Chelsea,Premier League,2025-2026,11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0
Connor Metcalfe,St Pauli,Bundesliga,2025-2026,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Conor Bradley,Liverpool,Premier League,2025-2026,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,0
Conor Gallagher,Atlético Madrid,La Liga,2025-2026,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,0
Conor Gallagher,Tottenham Hotspur,Premier League,2025-2026,12,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0
Conrad Harder,RB Leipzig,Bundesliga,2025-2026,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,0
Copete,Valencia,La Liga,2025-2026,15,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,0
Corentin Tolisso,Lyon,Ligue 1,2025-2026,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,4,0
Corrie Ndaba,Lecce,Serie A,2025-2026,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Cristhian Mosquera,Arsenal,Premier League,2025-2026,19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,0
Cristhian Stuani,Girona,La Liga,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,0
Cristian Cásseres Jr.,Toulouse,Ligue 1,2025-2026,42,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,6,0
Cristian Romero,Tottenham Hotspur,Premier League,2025-2026,30,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,11,2
Cristian Volpato,Sassuolo,Serie A,2025-2026,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0
Cristiano Biraghi,Torino,Serie A,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Crysencio Summerville,West Ham United,Premier League,2025-2026,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,6,0
Cucho,Real Betis,La Liga,2025-2026,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,0
Curtis Jones,Liverpool,Premier League,2025-2026,22,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,0
Cyriaque Irié,Freiburg,Bundesliga,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,0
Cyril Ngonge,Espanyol,La Liga,2025-2026,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0
Cyril Ngonge,Torino,Serie A,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0
Cédric Bakambu,Real Betis,La Liga,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
César Azpilicueta,Sevilla,La Liga,2025-2026,18,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
César Palacios,Real Madrid,La Liga,2025-2026,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
César Tárrega,Valencia,La Liga,2025-2026,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,6,0
Dachi Lordkipanidze,Cremonese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Daichi Kamada,Crystal Palace,Premier League,2025-2026,35,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0
Daley Blind,Girona,La Liga,2025-2026,34,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,0
Damion Downs,Hamburger SV,Bundesliga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
