player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Adrian Beck,Heidenheim,Bundesliga,2025-2026,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Adrian Benedyczak,Parma,Serie A,2025-2026,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Adrian Bernabe,Parma,Serie A,2025-2026,23,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0
Adrian Šemper,Pisa,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Adrien Rabiot,Marseille,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Adrien Rabiot,Milan,Serie A,2025-2026,30,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,6,1
Adrien Tameze,Torino,Serie A,2025-2026,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Adrien Thomasson,Lens,Ligue 1,2025-2026,56,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,11,0
Adrien Truffert,Bournemouth,Premier League,2025-2026,49,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,4,0
Adrià Altimira,Villarreal,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Adrià Pedrosa,Elche,La Liga,2025-2026,18,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0
Adrià Pedrosa,Sevilla,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Adrián Liso,Getafe,La Liga,2025-2026,22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,5,1
Adrián de la Fuente,Levante,La Liga,2025-2026,16,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,5,0
Afonso Moreira,Lyon,Ligue 1,2025-2026,22,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,0
Agustín Albarracín,Cagliari,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Aihen Muñoz,Real Sociedad,La Liga,2025-2026,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Aiman Dardari,Augsburg,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Aimar Oroz,Osasuna,La Liga,2025-2026,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,0
Ainsley Maitland-Niles,Lyon,Ligue 1,2025-2026,36,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,7,1
Aitor Fernández,Osasuna,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Aitor Mañas,Alavés,La Liga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Aitor Paredes,Athletic Club,La Liga,2025-2026,12,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,0
Aitor Ruibal,Real Betis,La Liga,2025-2026,32,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,6,1
Akor Adams,Sevilla,La Liga,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,3,0
Al-Musrati,Hellas Verona,Serie A,2025-2026,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,1
Aladji Bamba,Monaco,Ligue 1,2025-2026,20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Alan Matturro,Levante,La Liga,2025-2026,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,1
Albert Grønbaek,Genoa,Serie A,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Albert Grønbaek,Hamburger SV,Bundesliga,2025-2026,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Albert Guðmundsson,Fiorentina,Serie A,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,4,1
Albert Sambi Lokonga,Hamburger SV,Bundesliga,2025-2026,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,0
Alberto Dossena,Cagliari,Serie A,2025-2026,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,0
Alberto Grassi,Cremonese,Serie A,2025-2026,10,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,0
Alberto Moleiro,Villarreal,La Liga,2025-2026,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,4,0
Alberto Moreno,Como,Serie A,2025-2026,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Alberto Paleari,Torino,Serie A,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Alberto Reina,Oviedo,La Liga,2025-2026,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,6,1
Albian Hajdari,Hoffenheim,Bundesliga,2025-2026,38,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,10,0
Aleix Febas,Elche,La Liga,2025-2026,46,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,10,0
Aleix García,Leverkusen,Bundesliga,2025-2026,20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,0
Alejandro Balde,Barcelona,La Liga,2025-2026,21,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Alejandro Francés,Girona,La Liga,2025-2026,15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1
Alejandro Garnacho,Chelsea,Premier League,2025-2026,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Alejandro Mestanza,Getafe,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Alejandro Rego,Athletic Club,La Liga,2025-2026,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,6,0
Alejo Sarco,Gladbach,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alejo Sarco,Leverkusen,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Aleksa Puric,Atlético Madrid,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Aleksandar Pavlovic,Bayern Munich,Bundesliga,2025-2026,15,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Aleksandr Golovin,Monaco,Ligue 1,2025-2026,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4,1
Alessandro Bastoni,Inter,Serie A,2025-2026,39,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,6,0
Alessandro Buongiorno,Napoli,Serie A,2025-2026,22,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,3,0
Alessandro Circati,Parma,Serie A,2025-2026,25,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,0
Alessandro Deiola,Cagliari,Serie A,2025-2026,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,0
Alessandro Di Pardo,Cagliari,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alessandro Marcandalli,Genoa,Serie A,2025-2026,22,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Alessandro Romano,Roma,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Alessandro Zanoli,Udinese,Serie A,2025-2026,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Alessio Castro-Montes,Köln,Bundesliga,2025-2026,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Alessio Furlanetto,Lazio,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alessio Romagnoli,Lazio,Serie A,2025-2026,14,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,1
Alessio Zerbin,Cremonese,Serie A,2025-2026,19,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1,0
Alex Baena,Atlético Madrid,La Liga,2025-2026,11,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,0
Alex Freeman,Villarreal,La Liga,2025-2026,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Alex Iwobi,Fulham,Premier League,2025-2026,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0
Alex Král,Union Berlin,Bundesliga,2025-2026,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Alex Meret,Napoli,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Alex Murphy,Newcastle United,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alex Scott,Bournemouth,Premier League,2025-2026,37,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,5,0
Alex Sola,Getafe,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alex Tóth,Bournemouth,Premier League,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Alexander Isak,Liverpool,Premier League,2025-2026,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Alexander Legendre,Rennes,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Alexander Nübel,Stuttgart,Bundesliga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Alexander Prass,Hoffenheim,Bundesliga,2025-2026,22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,0
Alexander Røssing-Lelesiit,Hamburger SV,Bundesliga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,1
Alexander Sørloth,Atlético Madrid,La Liga,2025-2026,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,1
Alexandre Alemão,Rayo Vallecano,La Liga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,0
Alexis Claude-Maurice,Augsburg,Bundesliga,2025-2026,26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,0
Alexis Mac Allister,Liverpool,Premier League,2025-2026,27,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,6,0
Alexis Saelemaekers,Milan,Serie A,2025-2026,38,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,0
Alexis Sánchez,Sevilla,La Liga,2025-2026,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Alexis Vossah,Toulouse,Ligue 1,2025-2026,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1
Alexsandro Ribeiro,Lille,Ligue 1,2025-2026,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,1
Alfon,Sevilla,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Alfon,Villarreal,La Liga,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Alfonso Espino,Rayo Vallecano,La Liga,2025-2026,31,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Alfonso Pedraza,Villarreal,La Liga,2025-2026,31,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,8,0
Ali Abdi,Nice,Ligue 1,2025-2026,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,1
Ali Dembélé,Torino,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ali Houary,Elche,La Liga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Ali Yousuf,Nantes,Ligue 1,2025-2026,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,0
Alidu Seidu,Rennes,Ligue 1,2025-2026,22,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Alieu Fadera,Sassuolo,Serie A,2025-2026,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,5,0
Alieu Njie,Torino,Serie A,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0
Alimami Gory,Paris FC,Ligue 1,2025-2026,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,0
Alisson,Liverpool,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Alisson Santos,Napoli,Serie A,2025-2026,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Aljoscha Kemlein,Union Berlin,Bundesliga,2025-2026,25,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Allan Nyom,Getafe,La Liga,2025-2026,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,1
Allan Saint-Maximin,Lens,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Almugera Kabar,Dortmund,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alpha Touré,Metz,Ligue 1,2025-2026,23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,0
Alphonse Areola,West Ham United,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Alphonso Davies,Bayern Munich,Bundesliga,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Altay Bayındır,Manchester Utd,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alvaro Cortes,Barcelona,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alysson Edward,Aston Villa,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Amad Diallo,Manchester Utd,Premier League,2025-2026,22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Amadou Cissé,Strasbourg,Ligue 1,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Amadou Haidara,Lens,Ligue 1,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Amadou Onana,Aston Villa,Premier League,2025-2026,29,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,0
Amady Camara,Nantes,Ligue 1,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Ameen Al-Dakhil,Stuttgart,Bundesliga,2025-2026,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Amin Sarr,Hellas Verona,Serie A,2025-2026,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2,1
Amine Adli,Bournemouth,Premier League,2025-2026,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,0
Amine Gouiri,Marseille,Ligue 1,2025-2026,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0
Amir Richardson,Fiorentina,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Amir Rrahmani,Napoli,Serie A,2025-2026,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0
Amorim,Genoa,Serie A,2025-2026,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Amos Pieper,Werder Bremen,Bundesliga,2025-2026,24,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,0
Anastasios Douvikas,Como,Serie A,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,0
Ander Barrenetxea,Real Sociedad,La Liga,2025-2026,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,5,0
Ander Guevara,Alavés,La Liga,2025-2026,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,1
Andoni Gorosabel,Athletic Club,La Liga,2025-2026,24,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,0
Andre-Frank Zambo Anguissa,Napoli,Serie A,2025-2026,14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,0
Andrea Belotti,Cagliari,Serie A,2025-2026,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Andrea Cambiaso,Juventus,Serie A,2025-2026,38,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,1
Andrea Ghion,Sassuolo,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Andrea Pinamonti,Sassuolo,Serie A,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,1
Andreas Christensen,Barcelona,La Liga,2025-2026,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Andreas Hanche-Olsen,Mainz 05,Bundesliga,2025-2026,5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Andreas Hountondji,St Pauli,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Andreas Skov Olsen,Wolfsburg,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Andrei Ratiu,Rayo Vallecano,La Liga,2025-2026,44,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,9,0
Andrej Ilic,Union Berlin,Bundesliga,2025-2026,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,5,0
Andrej Kramarić,Hoffenheim,Bundesliga,2025-2026,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0
Andrew Omobamidele,Strasbourg,Ligue 1,2025-2026,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0
Andrew Robertson,Liverpool,Premier League,2025-2026,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Andrey Santos,Chelsea,Premier League,2025-2026,16,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,0
Andrias Edmundsson,Hellas Verona,Serie A,2025-2026,18,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Andrija Bulatović,Lens,Ligue 1,2025-2026,21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Andrija Maksimović,RB Leipzig,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Andriy Lunin,Real Madrid,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
András Schäfer,Union Berlin,Bundesliga,2025-2026,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,2,1
André,Wolves,Premier League,2025-2026,39,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,12,0
André Gomes,Lille,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
André Silva,Elche,La Liga,2025-2026,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,0
Andréa Le Borgne,Como,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Andrés Antañón,Celta Vigo,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Andrés García,Aston Villa,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Andy Diouf,Inter,Serie A,2025-2026,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Andy Diouf,Lens,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Andy Irving,West Ham United,Premier League,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Ange-Yoan Bonny,Inter,Serie A,2025-2026,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Angel Gomes,Marseille,Ligue 1,2025-2026,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,0
Angel Gomes,Wolves,Premier League,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Angeliño,Roma,Serie A,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0
Angelo Stiller,Stuttgart,Bundesliga,2025-2026,23,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,0
Angus Gunn,Nottingham Forest,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ansgar Knauff,Eintracht Frankfurt,Bundesliga,2025-2026,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3,0
Ansu Fati,Monaco,Ligue 1,2025-2026,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Ante Budimir,Osasuna,La Liga,2025-2026,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,3,0
Anthony Bermont,Lens,Ligue 1,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Anthony Caci,Mainz 05,Bundesliga,2025-2026,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0
Anthony Elanga,Newcastle United,Premier League,2025-2026,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Anthony Gordon,Newcastle United,Premier League,2025-2026,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,1
Anthony Jung,Freiburg,Bundesliga,2025-2026,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0
Anthony Lopes,Nantes,Ligue 1,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0
Anthony Rouault,Rennes,Ligue 1,2025-2026,13,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,0
Antoine Bernede,Hellas Verona,Serie A,2025-2026,39,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,2,0
Antoine Griezmann,Atlético Madrid,La Liga,2025-2026,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Antoine Mendy,Nice,Ligue 1,2025-2026,35,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,0
Antoine Semenyo,Bournemouth,Premier League,2025-2026,20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,6,0
Antoine Semenyo,Manchester City,Premier League,2025-2026,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Anton Kade,Augsburg,Bundesliga,2025-2026,14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,0
Anton Stach,Leeds United,Premier League,2025-2026,35,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,3,0
Antonee Robinson,Fulham,Premier League,2025-2026,28,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,0
Antoni Milambo,Brentford,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Antonino Gallo,Lecce,Serie A,2025-2026,37,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0
Antonio Arena,Roma,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Antonio Blanco,Alavés,La Liga,2025-2026,49,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,9,0
Antonio Caracciolo,Pisa,Serie A,2025-2026,44,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,10,0
Antonio Nusa,RB Leipzig,Bundesliga,2025-2026,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Antonio Raillo,Mallorca,La Liga,2025-2026,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Antonio Rüdiger,Real Madrid,La Liga,2025-2026,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0
Antonio Sanabria,Cremonese,Serie A,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Antonio Sivera,Alavés,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0
Antonio Sánchez,Mallorca,La Liga,2025-2026,11,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,1
Antonio Vergara,Napoli,Serie A,2025-2026,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0
Antoniu,Espanyol,La Liga,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Antony,Real Betis,La Liga,2025-2026,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1
Antonín Kinský,Tottenham Hotspur,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ao Tanaka,Leeds United,Premier League,2025-2026,14,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Archie Gray,Tottenham Hotspur,Premier League,2025-2026,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,0
Arda Güler,Real Madrid,La Liga,2025-2026,28,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0
Ardian Ismajli,Torino,Serie A,2025-2026,13,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,0
Ardon Jashari,Milan,Serie A,2025-2026,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0
Arijanet Muric,Sassuolo,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0
Arijon Ibrahimović,Heidenheim,Bundesliga,2025-2026,18,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Aritz Elustondo,Real Sociedad,La Liga,2025-2026,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0
Arkadiusz Milik,Juventus,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Arkadiusz Pyrka,St Pauli,Bundesliga,2025-2026,24,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,0
Arkaitz Mariezkurrena,Real Sociedad,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Armand Lauriente,Sassuolo,Serie A,2025-2026,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,4,0
Armando Broja,Burnley,Premier League,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0
Armel Bella Kotchap,Hellas Verona,Serie A,2025-2026,11,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,0
Armindo Sieb,Mainz 05,Bundesliga,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Arnau Martinez,Girona,La Liga,2025-2026,39,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,0
Arnau Tenas,Villarreal,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Arnaud Bodart,Lille,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Arnaud Kalimuendo,Eintracht Frankfurt,Bundesliga,2025-2026,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0
Arnaud Kalimuendo,Nottingham Forest,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
